block,timestamp_utc,from,usdc,tx_hash
41581739,2026-02-01T13:33:45Z,0xea9b43dc829f0a802a2a2d127911fe80ad191690,5.000000,0xfff495c69ba08fd2aa820392f7342632c2b7b7f13d40da84df30b17982d0384b
41582065,2026-02-01T13:44:37Z,0xea9b43dc829f0a802a2a2d127911fe80ad191690,5.000000,0x12908468a1a246dc20823dce4d9fd7c3ae8723b9ff48897e6003e6f73e65a2f4
41627846,2026-02-02T15:10:39Z,0x98e3c8e574070d21096cd314fa4b4dcbef9596ac,25.000000,0x627dd5f08b4e72d7e5472ac7e77b569285811bcc59f9425d2c3b9a8f5b79b90b
41628822,2026-02-02T15:43:11Z,0x98e3c8e574070d21096cd314fa4b4dcbef9596ac,5.000000,0xa34509cbf6d4d1ab1bc991afe96a723cb321a5a48a231e4b6dec775bd09a23f8
41629120,2026-02-02T15:53:07Z,0x98e3c8e574070d21096cd314fa4b4dcbef9596ac,5.000000,0x968cc1a47cfe075aec98e5b843daaddbc59eb7f4371e4f0c3c7f28b2ed788a9b
41638719,2026-02-02T21:13:05Z,0x1d68572d19ad1330272ed0e759d9c2e5f2c227ef,25.000000,0xa86401352558fe135ee701e70320252d3524c76069cfc00f4c02dc2b79433a2f
41639819,2026-02-02T21:49:45Z,0x899c2ac109caa3546b54a9f1f5403298492e76b4,100.000000,0xba91ab03dda072b1f1a55e838268a240b9620774fed37db2a7572eca716f62a7
41645263,2026-02-03T00:51:13Z,0x1c29082c8e4cc328bef3c03b4affaae49373b078,5.000000,0xaa075700fa10552211d498fced153490d5d3e5ab490c776526d5a14f0bbf0211
41647164,2026-02-03T01:54:35Z,0x516cafd745ec780d20f61c0d71fe258ea765222d,25.000000,0x00d5b63c7aff34176035fb523eeb4a671721971f34f3fce7ba24c8119526956a
41650203,2026-02-03T03:35:53Z,0x516cafd745ec780d20f61c0d71fe258ea765222d,25.000000,0x32e8d8afe61dc5c4e77063049b04e4db3b3620e7811f8fabe3c92b6a0604b090
41694896,2026-02-04T04:25:39Z,0xcba3335ae72503b5290c25dc7cf35c276bf5b4c1,5.000000,0xe676a372e68f248bf8748b549dddea49f527a86cc7a915ea6d3f9124e767cb54
41695749,2026-02-04T04:54:05Z,0x9f36ea13dc1d7b7bb160cf7f29ccdebfb4da7989,5.000000,0xe1b53abce608482403ab199e2979fe54b5d30c632dace819af89e5116ccaba1d
41704024,2026-02-04T09:29:55Z,0x453e03445512d39ae1cd6874121eb02c54224f24,25.000000,0x9f2b1706975b3ed067a134575189286ae527f7ce5c74926064ab4923b9b4e280
41710942,2026-02-04T13:20:31Z,0x8e9b5ac88bedc27c4096ac0353fccc31ce796259,5.000000,0x8067cb55833771e7c80c294002eebd3d2c0bee6e86d5139b11abf52b0eefbe6a
41710983,2026-02-04T13:21:53Z,0x8e9b5ac88bedc27c4096ac0353fccc31ce796259,5.000000,0xbbd4b8f872700e75f2fdabf6301b1352c696b20628b3250468c9b6af5f28588c
41711054,2026-02-04T13:24:15Z,0x8e9b5ac88bedc27c4096ac0353fccc31ce796259,5.000000,0x40408bd66d169340e90b02588ed0eda7789223170dbb742c2f68a1b42f8288b3
41711059,2026-02-04T13:24:25Z,0x8e9b5ac88bedc27c4096ac0353fccc31ce796259,5.000000,0x41caed7862f9d2e9e515cca6ed8a87761f74add6d133f6ba9481dc3917a53b90
41711257,2026-02-04T13:31:01Z,0x8e9b5ac88bedc27c4096ac0353fccc31ce796259,5.000000,0xdc1498253ce0d417c31c913cdcdb1a290b2e787c32fd925e5300e01e475afa4b
41721101,2026-02-04T18:59:09Z,0x3bbcf8430881beecefc2d23f02704935d42cc54a,5.000000,0xa209767b0359c58d7098c091dc8480b614a1c9f3f7d32051c2cb2db73b066468
41722177,2026-02-04T19:35:01Z,0x045cc3b2fd10a855c07b9266104e176d980be49f,5.000000,0xc2d9a191fc7b3ec4dedb97299df4ad778dca331d847b30986831b1206ade2764
