seller_address,name,transfers_7d,usdc_7d,unique_payers_7d
0x7284d41b5b852f2bd4c99bdf95043d84452d299c,AX1 Console,104682,2093.640000,1986
0x325bdf6f7efab24a2210c48c1b64cab2eae1d430,StableEnrich,10911,395.569200,128
0xe9030014f5dae217d0a152f02a043567b16c1abf,BlockRun.AI,13020,248.862349,117
0x17cd53c04d707ef0dd615ef56c633f02915a7905,keyring-agent,3597,179.556000,57
0x158e90dd58fbe897ed8c244f472febee37283d00,agents.chain.link,13138,139.242000,3
0xade02dff58b0316f04cd59806e3fdb4690fe89ab,Deepline GTM,653,95.340000,19
0xcfa26f13c6c18307033ece13bbb8f470da5b4dbe,StableSocial,1175,70.500000,29
0x21dd37e3e4ea6ccc0a5c98a4944702ede6e7be10,Conway (Referenz),30,70.044616,10
0x66d7c2f952362bfb24fd7f02a9bec9c754ea83bc,api.strale.io,929,57.402000,9
0x6c0752c09e7f6fa6526fcdf40e456a159ebb5621,AgentUtility.ai,2232,57.315000,18
0xa13d363aecccf878ec64f6eb687eb4a771fb0599,RobinX,2083,41.590000,8
0xdc59fa7b64988b846e76ec9849bb68f889071506,JarvisClaw,1249,11.192916,14
0x966e1ae22996545015b1414b35234b10719d7ad4,Satelink RPC,1,0.100000,1
0x428df107e32e08288fcac6567f4f40bc4eab4da0,Lazaretto,1,0.030000,1
0xf2a6416ebb0c594ab2977695bed061729ddeb47b,Kaisha API,2,0.004000,2
0x3d7611b43f4b761e641e51a1f64abb21fdbbb914,SibFly,0,0.000000,0
0x5cc3c4e5020ec3d81e392658efe7b27966872ce7,MoneyMachine x402,0,0.000000,0
0xf375b89bb5785386f5cbb63e815c924787af79cf,agentdata-nl,0,0.000000,0
0x833ca7dcdb6a681ddc0c15982ef0d609bceb3a5e,Asset Forge,0,0.000000,0
