# ip	owner	kind. Written by ops/fetchers.py; committed because it is evidence
100.53.7.234	AWS	datacenter
100.54.194.6	AWS	datacenter
103.196.9.144	-	unknown
103.196.9.209	-	unknown
103.196.9.220	-	unknown
103.216.1.3	-	unknown
103.4.251.143	-	unknown
103.96.12.146	-	unknown
104.164.126.82	-	unknown
104.164.173.34	-	unknown
104.164.56.46	-	unknown
104.253.228.170	-	unknown
104.253.228.38	-	unknown
108.129.177.191	AWS	datacenter
109.91.221.13	ip-109-091-221-013.um37.pools.vodafone-ip.de	unknown
114.248.31.150	-	unknown
119.12.205.87	-	unknown
128.199.182.152	cdffb2c5b1.scan.leakix.org	unknown
13.220.15.194	AWS	datacenter
135.125.100.233	OVH	datacenter
135.136.68.53	-	unknown
136.118.11.62	GCP	datacenter
136.124.32.136	-	unknown
136.124.32.180	-	unknown
136.124.35.135	-	unknown
136.22.128.15	-	unknown
136.65.251.127	GCP	datacenter
142.147.212.236	-	unknown
142.147.225.103	-	unknown
142.147.225.122	-	unknown
142.147.225.159	-	unknown
142.147.225.191	-	unknown
142.147.225.48	-	unknown
142.44.198.48	ip48.ip-142-44-198.net	unknown
144.217.233.239	ip239.ip-144-217-233.net	unknown
146.190.36.48	-	unknown
146.59.4.209	ip209.ip-146-59-4.eu	unknown
146.70.117.112	-	unknown
146.70.184.246	-	unknown
149.22.85.75	unn-149-22-85-75.datapacket.com	unknown
149.248.79.70	-	unknown
149.57.180.101	-	unknown
149.57.180.12	-	unknown
149.57.180.180	-	unknown
149.88.19.18	unn-149-88-19-18.datapacket.com	unknown
152.53.195.17	v2202506220004355560.ultrasrv.de	unknown
152.53.241.191	v2202506231195354498.goodsrv.de	unknown
154.47.27.42	unn-154-47-27-42.datapacket.com	unknown
157.173.126.21	vmi2882396.contaboserver.net	unknown
157.180.73.225	crawler.fossick.bot	unknown
158.173.244.33	-	unknown
158.173.67.61	-	unknown
158.173.77.85	-	unknown
159.195.17.105	v2202608356319495953.megasrv.de	unknown
159.195.232.23	v2202608356319495272.happysrv.de	unknown
159.69.72.167	Hetzner	datacenter
162.158.90.113	-	unknown
